OrderKey,OrderAlternateKey,Order Date,Ship Date,Ship Mode
105018,CA-2016-105018,11/28/2016,12/02/2016,Standard Class
123260,CA-2014-123260,8/26/2014,8/30/2014,Standard Class
157000,CA-2016-157000,7/16/2016,7/22/2016,Standard Class
102281,CA-2015-102281,10/12/2015,10/14/2015,First Class
131457,CA-2015-131457,10/31/2015,11/06/2015,Standard Class
140004,CA-2014-140004,3/21/2014,3/25/2014,Standard Class
107720,CA-2017-107720,11/06/2017,11/13/2017,Standard Class
124303,US-2017-124303,07/06/2017,7/13/2017,Standard Class
105074,CA-2017-105074,6/24/2017,6/29/2017,Standard Class
133690,CA-2014-133690,08/03/2014,08/05/2014,First Class
116701,US-2017-116701,12/17/2017,12/21/2017,Second Class
126382,CA-2017-126382,06/03/2017,06/07/2017,Standard Class
108329,CA-2017-108329,12/09/2017,12/14/2017,Standard Class
135860,CA-2017-135860,12/01/2017,12/07/2017,Standard Class
101007,CA-2015-101007,02/09/2015,2/13/2015,Second Class
146262,CA-2015-146262,01/02/2015,01/09/2015,Standard Class
130162,CA-2016-130162,10/28/2016,11/01/2016,Standard Class
169397,CA-2015-169397,12/24/2015,12/27/2015,First Class
163055,CA-2015-163055,08/09/2015,8/16/2015,Standard Class
145436,US-2015-145436,2/28/2015,03/04/2015,Standard Class
156216,US-2014-156216,9/13/2014,9/17/2014,Standard Class
100930,US-2017-100930,04/07/2017,04/12/2017,Standard Class
160514,CA-2017-160514,11/12/2017,11/16/2017,Standard Class
157749,CA-2016-157749,06/04/2016,06/09/2016,Second Class
131926,CA-2014-131926,06/01/2014,06/06/2014,Second Class
154739,CA-2016-154739,12/10/2016,12/15/2016,Second Class
145625,CA-2016-145625,09/11/2016,9/17/2016,Standard Class
146941,CA-2016-146941,12/10/2016,12/13/2016,First Class
159982,US-2015-159982,11/28/2015,12/04/2015,Standard Class
163139,CA-2017-163139,12/01/2017,12/03/2017,Second Class
155299,US-2017-155299,06/08/2017,06/12/2017,Standard Class
106992,US-2014-106992,9/19/2014,9/21/2014,Second Class
125318,CA-2016-125318,06/06/2016,6/13/2016,Standard Class
155040,CA-2015-155040,11/10/2015,11/15/2015,Standard Class
136826,CA-2017-136826,6/16/2017,6/20/2017,Standard Class
111010,CA-2016-111010,1/22/2016,1/28/2016,Standard Class
145366,US-2017-145366,12/09/2017,12/13/2017,Standard Class
163979,CA-2017-163979,12/28/2017,01/02/2018,Second Class
155334,CA-2015-155334,7/30/2015,7/31/2015,First Class
118136,CA-2017-118136,9/16/2017,9/17/2017,First Class
132976,CA-2017-132976,10/13/2017,10/17/2017,Standard Class
161991,US-2015-161991,9/26/2015,9/28/2015,Second Class
130890,CA-2015-130890,11/02/2015,11/06/2015,Standard Class
130883,CA-2015-130883,9/26/2015,10/02/2015,Standard Class
112697,CA-2016-112697,12/18/2016,12/20/2016,Second Class
110772,CA-2016-110772,11/20/2016,11/24/2016,Second Class
111451,CA-2014-111451,12/26/2014,12/28/2014,First Class
142545,CA-2016-142545,10/28/2016,11/03/2016,Standard Class
152380,US-2017-152380,11/19/2017,11/23/2017,Standard Class
144253,CA-2015-144253,05/04/2015,05/09/2015,Second Class
130960,CA-2014-130960,12/30/2014,01/04/2015,Standard Class
111003,CA-2014-111003,06/01/2014,06/06/2014,Standard Class
126774,CA-2017-126774,4/15/2017,4/17/2017,First Class
142902,CA-2016-142902,09/12/2016,9/14/2016,Second Class
120887,CA-2014-120887,9/27/2014,10/03/2014,Standard Class
167850,CA-2014-167850,08/09/2014,8/16/2014,Standard Class
164259,CA-2014-164259,12/28/2014,12/30/2014,First Class
164973,CA-2014-164973,11/04/2014,11/09/2014,Standard Class
156601,CA-2014-156601,9/19/2014,9/24/2014,Standard Class
162138,CA-2016-162138,4/23/2016,4/27/2016,Standard Class
153339,CA-2017-153339,11/03/2017,11/05/2017,Second Class
141544,US-2016-141544,8/30/2016,09/01/2016,First Class
150147,US-2016-150147,4/25/2016,4/29/2016,Second Class
137946,CA-2015-137946,09/01/2015,09/04/2015,Second Class
129924,CA-2014-129924,07/12/2014,7/17/2014,Standard Class
128167,CA-2015-128167,6/22/2015,6/26/2015,Second Class
122336,CA-2014-122336,4/13/2014,4/17/2014,Second Class
120712,US-2015-120712,12/20/2015,12/24/2015,Standard Class
169901,CA-2017-169901,6/15/2017,6/19/2017,Standard Class
134306,CA-2017-134306,07/08/2017,07/12/2017,Standard Class
129714,CA-2016-129714,09/01/2016,09/03/2016,First Class
138520,CA-2016-138520,04/08/2016,4/13/2016,Standard Class
130001,CA-2016-130001,4/23/2016,4/28/2016,Standard Class
155698,CA-2017-155698,03/08/2017,03/11/2017,First Class
144904,CA-2017-144904,9/25/2017,10/01/2017,Standard Class
123344,CA-2014-123344,9/24/2014,9/29/2014,Standard Class
155516,CA-2016-155516,10/21/2016,10/21/2016,Same Day
104745,CA-2017-104745,5/29/2017,06/04/2017,Standard Class
119137,US-2014-119137,7/23/2014,7/27/2014,Standard Class
134656,US-2016-134656,9/28/2016,10/01/2016,First Class
134481,US-2017-134481,8/27/2017,09/01/2017,Standard Class
130792,CA-2015-130792,4/28/2015,05/05/2015,Standard Class
134775,CA-2016-134775,10/28/2016,10/29/2016,First Class
125395,CA-2015-125395,6/26/2015,6/29/2015,Second Class
168935,US-2015-168935,11/27/2015,12/02/2015,Standard Class
122756,CA-2015-122756,12/03/2015,12/07/2015,Standard Class
115973,CA-2014-115973,11/24/2014,11/26/2014,First Class
101798,CA-2017-101798,12/11/2017,12/15/2017,Standard Class
135972,US-2014-135972,9/21/2014,9/23/2014,Second Class
134971,US-2014-134971,06/07/2014,06/10/2014,Second Class
102946,CA-2017-102946,6/30/2017,07/05/2017,Standard Class
165603,CA-2017-165603,10/17/2017,10/19/2017,Second Class
122259,CA-2015-122259,10/31/2015,11/04/2015,Standard Class
108987,CA-2016-108987,09/08/2016,09/10/2016,Second Class
113166,CA-2014-113166,12/24/2014,12/26/2014,First Class
155208,CA-2014-155208,4/16/2014,4/20/2014,Standard Class
117933,CA-2017-117933,12/24/2017,12/29/2017,Standard Class
117457,CA-2017-117457,12/08/2017,12/12/2017,Standard Class
142636,CA-2017-142636,11/03/2017,11/07/2017,Standard Class
122105,CA-2017-122105,6/24/2017,6/28/2017,Standard Class
148796,CA-2016-148796,4/14/2016,4/18/2016,Standard Class
154816,CA-2017-154816,11/06/2017,11/10/2017,Standard Class
110478,CA-2017-110478,03/04/2017,03/09/2017,Standard Class
142048,CA-2014-142048,6/22/2014,6/25/2014,First Class
125388,CA-2017-125388,10/19/2017,10/23/2017,Standard Class
155705,CA-2017-155705,8/21/2017,8/23/2017,Second Class
149160,CA-2017-149160,11/23/2017,11/26/2017,Second Class
101476,CA-2014-101476,09/12/2014,9/13/2014,First Class
152275,CA-2017-152275,10/01/2017,10/08/2017,Standard Class
123750,US-2016-123750,4/15/2016,4/21/2016,Standard Class
127369,CA-2016-127369,06/06/2016,06/07/2016,First Class
150574,US-2014-150574,12/19/2014,12/25/2014,Standard Class
147375,CA-2016-147375,06/12/2016,6/14/2016,Second Class
130043,CA-2017-130043,9/15/2017,9/19/2017,Standard Class
157252,CA-2017-157252,1/20/2017,1/23/2017,Second Class
115756,CA-2016-115756,09/05/2016,09/07/2016,Second Class
154214,CA-2017-154214,3/20/2017,3/25/2017,Second Class
166674,CA-2016-166674,04/01/2016,04/03/2016,Second Class
147277,CA-2017-147277,10/20/2017,10/24/2017,Standard Class
100153,CA-2016-100153,12/13/2016,12/17/2016,Standard Class
110674,US-2014-110674,02/12/2014,2/18/2014,Standard Class
157945,US-2016-157945,9/26/2016,10/01/2016,Standard Class
109638,CA-2015-109638,12/15/2015,12/22/2015,Standard Class
109869,CA-2016-109869,4/22/2016,4/29/2016,Standard Class
101399,US-2015-101399,1/17/2015,1/24/2015,Standard Class
154907,CA-2017-154907,3/31/2017,04/04/2017,Standard Class
100419,US-2016-100419,12/16/2016,12/20/2016,Second Class
154144,CA-2015-154144,12/20/2015,12/24/2015,Standard Class
144666,CA-2014-144666,11/09/2014,11/11/2014,Second Class
103891,CA-2016-103891,07/12/2016,7/19/2016,Standard Class
152632,CA-2016-152632,10/27/2016,11/02/2016,Standard Class
100790,CA-2016-100790,6/26/2016,07/02/2016,Standard Class
134677,CA-2014-134677,10/06/2014,10/10/2014,Standard Class
127691,CA-2014-127691,7/22/2014,7/27/2014,Standard Class
140963,CA-2017-140963,06/10/2017,6/13/2017,First Class
154627,CA-2014-154627,10/29/2014,10/31/2014,First Class
133753,CA-2014-133753,06/09/2014,6/13/2014,Second Class
113362,CA-2014-113362,9/14/2014,9/19/2014,Standard Class
169166,CA-2016-169166,05/09/2016,5/14/2016,Standard Class
120929,US-2016-120929,3/18/2016,3/21/2016,Second Class
134782,CA-2015-134782,12/27/2015,12/31/2015,Standard Class
126158,CA-2016-126158,7/25/2016,7/31/2016,Standard Class
105578,US-2016-105578,5/30/2016,06/04/2016,Standard Class
134978,CA-2017-134978,11/12/2017,11/15/2017,Second Class
145352,CA-2015-145352,3/16/2015,3/22/2015,Standard Class
135307,CA-2017-135307,11/26/2017,11/27/2017,First Class
106341,CA-2016-106341,10/20/2016,10/23/2016,First Class
163405,CA-2017-163405,12/21/2017,12/25/2017,Standard Class
127432,CA-2017-127432,1/22/2017,1/27/2017,Standard Class
157812,CA-2015-157812,3/22/2015,3/26/2015,Standard Class
145142,CA-2017-145142,1/23/2017,1/25/2017,First Class
139486,US-2016-139486,5/21/2016,5/23/2016,First Class
158792,CA-2015-158792,12/26/2015,01/02/2016,Standard Class
113558,CA-2017-113558,10/21/2017,10/26/2017,Standard Class
138303,US-2015-138303,09/03/2015,09/07/2015,Standard Class
102848,CA-2015-102848,11/07/2015,11/09/2015,Second Class
129441,US-2017-129441,09/07/2017,09/11/2017,Standard Class
168753,CA-2016-168753,5/29/2016,06/01/2016,Second Class
126613,CA-2016-126613,07/10/2016,7/16/2016,Standard Class
122637,US-2017-122637,09/03/2017,09/08/2017,Second Class
147851,CA-2015-147851,12/03/2015,12/08/2015,Standard Class
134894,CA-2015-134894,12/07/2015,12/11/2015,Standard Class
140795,CA-2014-140795,02/01/2014,02/03/2014,First Class
136924,CA-2016-136924,7/14/2016,7/17/2016,First Class
120161,US-2015-120161,12/18/2015,12/23/2015,Standard Class
103849,CA-2014-103849,05/11/2014,5/16/2014,Standard Class
162929,CA-2017-162929,11/19/2017,11/22/2017,First Class
113173,CA-2015-113173,11/15/2015,11/17/2015,Second Class
136406,CA-2016-136406,4/15/2016,4/17/2016,Second Class
112774,CA-2017-112774,09/11/2017,09/12/2017,First Class
101945,CA-2017-101945,11/24/2017,11/28/2017,Standard Class
100650,CA-2017-100650,6/29/2017,07/03/2017,Second Class
155852,CA-2014-155852,03/03/2014,03/07/2014,Second Class
113243,CA-2016-113243,06/10/2016,6/15/2016,Standard Class
118731,CA-2017-118731,11/20/2017,11/22/2017,Second Class
145576,CA-2014-145576,9/14/2014,9/18/2014,Second Class
130736,CA-2015-130736,12/07/2015,12/09/2015,First Class
137099,CA-2017-137099,12/07/2017,12/10/2017,First Class
156951,CA-2017-156951,10/01/2017,10/08/2017,Standard Class
164826,CA-2017-164826,12/28/2017,01/04/2018,Standard Class
127250,CA-2016-127250,11/03/2016,11/07/2016,Standard Class
149713,CA-2015-149713,9/18/2015,9/22/2015,Second Class
118640,CA-2017-118640,7/20/2017,7/26/2017,Standard Class
132906,CA-2015-132906,09/10/2015,9/14/2015,Standard Class
145233,CA-2017-145233,12/01/2017,12/05/2017,Standard Class
128139,CA-2015-128139,07/03/2015,07/09/2015,Standard Class
156986,US-2016-156986,3/20/2016,3/24/2016,Standard Class
135405,CA-2014-135405,01/09/2014,1/13/2014,Standard Class
131450,CA-2014-131450,08/08/2014,8/15/2014,Standard Class
120180,CA-2016-120180,7/14/2016,7/16/2016,First Class
100720,US-2016-100720,7/16/2016,7/21/2016,Standard Class
149958,CA-2014-149958,3/15/2014,3/19/2014,Standard Class
105767,US-2014-105767,5/23/2014,5/27/2014,Standard Class
161816,CA-2016-161816,4/28/2016,05/01/2016,First Class
121223,CA-2016-121223,09/11/2016,9/13/2016,Second Class
138611,CA-2017-138611,11/14/2017,11/17/2017,Second Class
117947,CA-2017-117947,8/18/2017,8/23/2017,Second Class
111171,US-2014-111171,12/26/2014,12/31/2014,Standard Class
138009,CA-2015-138009,11/29/2015,12/03/2015,Standard Class
163020,CA-2017-163020,9/15/2017,9/19/2017,Standard Class
153787,CA-2017-153787,5/19/2017,5/23/2017,Standard Class
133431,CA-2017-133431,12/17/2017,12/21/2017,Standard Class
135720,US-2016-135720,12/11/2016,12/13/2016,Second Class
144694,CA-2017-144694,9/24/2017,9/26/2017,Second Class
168004,CA-2015-168004,10/04/2015,10/09/2015,Second Class
123470,US-2016-123470,8/15/2016,8/21/2016,Standard Class
115917,CA-2016-115917,5/20/2016,5/25/2016,Standard Class
147067,CA-2016-147067,12/18/2016,12/22/2016,Standard Class
167913,CA-2017-167913,7/30/2017,08/03/2017,Second Class
106103,CA-2017-106103,06/10/2017,6/15/2017,Standard Class
127719,US-2017-127719,7/21/2017,7/25/2017,Standard Class
126221,CA-2017-126221,12/30/2017,01/05/2018,Standard Class
103947,CA-2016-103947,04/01/2016,04/08/2016,Standard Class
160745,CA-2016-160745,12/11/2016,12/16/2016,Second Class
132661,CA-2016-132661,10/23/2016,10/29/2016,Standard Class
140844,CA-2017-140844,6/19/2017,6/23/2017,Standard Class
137239,CA-2016-137239,8/22/2016,8/28/2016,Standard Class
156097,US-2016-156097,9/19/2016,9/19/2016,Same Day
146563,CA-2015-146563,8/24/2015,8/28/2015,Standard Class
123666,CA-2016-123666,3/26/2016,3/30/2016,Standard Class
143308,CA-2016-143308,11/04/2016,11/04/2016,Same Day
132682,CA-2017-132682,06/08/2017,06/10/2017,Second Class
156314,CA-2014-156314,12/24/2014,12/26/2014,First Class
106663,US-2017-106663,06/09/2017,6/13/2017,Standard Class
111178,CA-2017-111178,6/15/2017,6/22/2017,Standard Class
130351,CA-2017-130351,12/05/2017,12/08/2017,First Class
119438,US-2017-119438,3/18/2017,3/23/2017,Standard Class
164511,CA-2016-164511,11/19/2016,11/24/2016,Standard Class
168116,US-2017-168116,11/04/2017,11/04/2017,Same Day
157784,CA-2014-157784,07/05/2014,07/08/2014,First Class
161480,CA-2017-161480,12/25/2017,12/29/2017,Standard Class
117135,US-2014-117135,6/21/2014,6/23/2014,Second Class
131534,CA-2015-131534,3/28/2015,04/02/2015,Standard Class
119291,CA-2015-119291,5/14/2015,5/17/2015,First Class
114552,CA-2017-114552,09/02/2017,09/08/2017,Standard Class
163755,CA-2016-163755,11/04/2016,11/08/2016,Second Class
142027,CA-2015-142027,04/09/2015,4/14/2015,Standard Class
138527,CA-2014-138527,09/12/2014,9/17/2014,Standard Class
112158,CA-2014-112158,12/02/2014,12/04/2014,First Class
113887,CA-2014-113887,04/05/2014,04/07/2014,First Class
146136,CA-2017-146136,09/03/2017,09/07/2017,Standard Class
100048,US-2017-100048,5/19/2017,5/24/2017,Standard Class
153150,CA-2014-153150,07/01/2014,07/06/2014,Second Class
130092,CA-2014-130092,01/11/2014,1/14/2014,First Class
108910,CA-2017-108910,9/24/2017,9/29/2017,Standard Class
104472,CA-2014-104472,06/02/2014,06/07/2014,Standard Class
112942,CA-2016-112942,2/13/2016,2/18/2016,Standard Class
142335,CA-2016-142335,12/15/2016,12/19/2016,Standard Class
117429,CA-2014-117429,10/07/2014,10/13/2014,Standard Class
114713,CA-2016-114713,07/07/2016,07/12/2016,Standard Class
144113,CA-2017-144113,9/16/2017,9/20/2017,Standard Class
150861,US-2016-150861,12/03/2016,12/06/2016,First Class
131954,CA-2017-131954,1/21/2017,1/25/2017,Standard Class
132500,CA-2014-132500,09/08/2014,09/12/2014,Standard Class
112326,CA-2014-112326,01/04/2014,01/08/2014,Standard Class
146710,US-2016-146710,8/27/2016,09/01/2016,Standard Class
124429,CA-2014-124429,5/27/2014,5/27/2014,Same Day
150889,CA-2016-150889,3/20/2016,3/22/2016,Second Class
126074,CA-2017-126074,10/02/2017,10/06/2017,Standard Class
110499,CA-2016-110499,04/07/2016,04/09/2016,First Class
135272,CA-2015-135272,12/07/2015,12/12/2015,Standard Class
140928,CA-2016-140928,9/18/2016,9/22/2016,Standard Class
106803,CA-2014-106803,12/29/2014,01/02/2015,Standard Class
117240,CA-2017-117240,7/23/2017,7/28/2017,Standard Class
133333,CA-2017-133333,9/18/2017,9/22/2017,Standard Class
112319,CA-2015-112319,8/31/2015,09/05/2015,Standard Class
126046,CA-2017-126046,11/03/2017,11/07/2017,Standard Class
114923,CA-2015-114923,02/08/2015,2/13/2015,Standard Class
162775,CA-2014-162775,1/13/2014,1/15/2014,Second Class
106810,CA-2014-106810,5/14/2014,5/20/2014,Standard Class
157245,CA-2016-157245,5/19/2016,5/24/2016,Standard Class
104220,CA-2017-104220,1/30/2017,02/05/2017,Standard Class
165974,CA-2014-165974,6/29/2014,07/06/2014,Standard Class
144267,CA-2015-144267,8/21/2015,8/23/2015,First Class
157014,US-2015-157014,10/03/2015,10/06/2015,Second Class
154921,CA-2015-154921,5/23/2015,5/28/2015,Standard Class
129567,CA-2017-129567,3/17/2017,3/21/2017,Second Class
154620,CA-2015-154620,12/12/2015,12/16/2015,Standard Class
115938,CA-2015-115938,6/26/2015,6/30/2015,Standard Class
105256,CA-2016-105256,5/20/2016,5/20/2016,Same Day
156433,CA-2014-156433,9/20/2014,9/26/2014,Standard Class
151428,CA-2017-151428,9/21/2017,9/26/2017,Standard Class
124653,CA-2015-124653,12/24/2015,12/26/2015,First Class
101910,CA-2015-101910,11/27/2015,12/03/2015,Standard Class
105809,CA-2017-105809,2/20/2017,2/23/2017,First Class
136133,CA-2016-136133,8/18/2016,8/23/2016,Second Class
115504,CA-2016-115504,03/12/2016,3/17/2016,Standard Class
135783,CA-2017-135783,4/22/2017,4/24/2017,First Class
134313,CA-2014-134313,11/01/2014,11/07/2014,Standard Class
140921,CA-2015-140921,02/03/2015,02/05/2015,First Class
151995,CA-2014-151995,10/13/2014,10/15/2014,First Class
143686,CA-2017-143686,5/14/2017,5/14/2017,Same Day
106565,CA-2015-106565,3/20/2015,3/23/2015,First Class
149370,CA-2016-149370,9/15/2016,9/19/2016,Standard Class
140858,CA-2014-140858,6/28/2014,07/02/2014,Standard Class
101434,CA-2017-101434,6/20/2017,6/27/2017,Standard Class
102071,US-2014-102071,05/09/2014,5/15/2014,Standard Class
126956,CA-2017-126956,8/21/2017,8/28/2017,Standard Class
129462,CA-2017-129462,6/16/2017,6/21/2017,Second Class
165316,CA-2016-165316,7/23/2016,7/27/2016,Standard Class
115987,US-2014-115987,09/08/2014,9/13/2014,Second Class
156083,US-2017-156083,11/04/2017,11/11/2017,Standard Class
137547,US-2016-137547,03/07/2016,03/12/2016,Standard Class
100454,CA-2015-100454,11/20/2015,11/25/2015,Standard Class
161669,CA-2016-161669,11/07/2016,11/09/2016,First Class
114300,CA-2015-114300,10/13/2015,10/17/2015,Standard Class
107503,CA-2017-107503,01/01/2017,01/06/2017,Standard Class
107755,CA-2014-107755,02/07/2014,02/12/2014,Standard Class
152534,CA-2016-152534,6/20/2016,6/25/2016,Second Class
113747,CA-2016-113747,5/28/2016,06/04/2016,Standard Class
123274,CA-2016-123274,2/19/2016,2/24/2016,Standard Class
125612,CA-2014-125612,08/03/2014,08/08/2014,Standard Class
161984,CA-2017-161984,04/10/2017,4/15/2017,Standard Class
133851,CA-2014-133851,06/09/2014,6/16/2014,Standard Class
134474,CA-2016-134474,01/05/2016,01/07/2016,Second Class
149020,CA-2014-149020,01/10/2014,1/15/2014,Standard Class
134362,CA-2016-134362,9/29/2016,10/02/2016,First Class
136742,CA-2014-136742,04/06/2014,04/10/2014,Standard Class
158099,CA-2016-158099,09/03/2016,09/05/2016,First Class
131128,CA-2015-131128,10/19/2015,10/20/2015,First Class
148488,CA-2014-148488,12/10/2014,12/15/2014,Standard Class
114636,CA-2017-114636,8/25/2017,8/29/2017,Standard Class
116736,CA-2016-116736,1/17/2016,1/21/2016,Standard Class
158638,US-2014-158638,9/17/2014,9/21/2014,Standard Class
111689,CA-2017-111689,11/30/2017,12/02/2017,Second Class
129098,CA-2015-129098,10/09/2015,10/13/2015,Standard Class
123463,US-2017-123463,12/23/2017,12/23/2017,Same Day
165148,CA-2016-165148,10/22/2016,10/24/2016,First Class
134061,CA-2014-134061,4/29/2014,05/04/2014,Standard Class
143602,CA-2015-143602,4/25/2015,4/28/2015,Second Class
115364,CA-2017-115364,6/26/2017,07/02/2017,Standard Class
150707,CA-2017-150707,10/14/2017,10/19/2017,Standard Class
104976,CA-2014-104976,12/09/2014,12/16/2014,Standard Class
132934,CA-2017-132934,6/20/2017,6/26/2017,Standard Class
133256,CA-2017-133256,6/26/2017,6/27/2017,First Class
105494,CA-2016-105494,11/10/2016,11/12/2016,First Class
140634,CA-2016-140634,10/03/2016,10/06/2016,Second Class
144407,CA-2014-144407,09/09/2014,9/15/2014,Standard Class
160983,CA-2017-160983,10/29/2017,10/31/2017,Second Class
114622,US-2016-114622,04/10/2016,04/12/2016,First Class
150959,CA-2017-150959,11/11/2017,11/13/2017,First Class
132353,CA-2017-132353,9/15/2017,9/17/2017,First Class
130477,CA-2016-130477,04/08/2016,04/12/2016,Standard Class
143259,CA-2017-143259,12/30/2017,01/03/2018,Standard Class
137596,CA-2017-137596,09/02/2017,09/07/2017,Standard Class
133627,CA-2015-133627,5/31/2015,06/07/2015,Standard Class
102519,CA-2017-102519,11/27/2017,11/29/2017,First Class
141215,US-2014-141215,6/15/2014,6/21/2014,Standard Class
165218,CA-2016-165218,03/05/2016,03/11/2016,Standard Class
138296,CA-2014-138296,12/05/2014,12/12/2014,Standard Class
111164,CA-2015-111164,04/11/2015,4/15/2015,Standard Class
149797,CA-2016-149797,9/15/2016,9/20/2016,Standard Class
132962,CA-2014-132962,9/13/2014,9/16/2014,First Class
115091,CA-2015-115091,10/05/2015,10/09/2015,Standard Class
144932,CA-2017-144932,4/14/2017,4/17/2017,First Class
114216,CA-2017-114216,09/02/2017,09/06/2017,Standard Class
