SalesKey,OrderKey,CustomerKey,SalesTheritoryKey,ProductKey,Sales,Quantity,Discount,Profit
50,115742,13000,47150,10004410,38.22,6,0,17.9634
51,115742,13000,47150,10002762,75.18,6,0,35.3346
52,115742,13000,47150,10001706,6.16,2,0,2.9568
53,115742,13000,47150,10003061,89.99,1,0,17.0981
54,105816,15265,10024,10000304,15.26,7,0,6.2566
55,105816,15265,10024,10002447,1029.95,5,0,298.6855
56,111682,21055,12180,10000604,208.56,6,0,52.14
57,111682,21055,12180,10001569,32.4,5,0,15.552
58,111682,21055,12180,10003968,319.41,5,0.1,7.098
59,111682,21055,12180,10000587,14.56,2,0,6.9888
60,111682,21055,12180,10002167,30,2,0,3.3
61,111682,21055,12180,10001460,48.48,4,0.2,16.362
62,111682,21055,12180,10001868,1.68,1,0,0.84
63,135545,16720,90004,10004633,13.98,2,0,6.1512
64,135545,16720,90004,10001078,25.824,6,0.2,9.3612
65,135545,16720,90004,10003892,146.73,3,0,68.9631
66,135545,16720,90004,10000397,79.76,4,0,22.3328
67,164175,18970,60610,10001146,213.115,5,0.3,-15.2225
68,106376,11590,85234,10002671,1113.024,8,0.2,111.3024
69,106376,11590,85234,10002726,167.968,4,0.2,62.988
70,119823,16270,22153,10000482,75.88,2,0,35.6636
71,106075,14980,10009,10004654,4.616,1,0.2,1.731
72,114440,21520,49201,10004675,19.05,3,0,8.763
73,134026,15745,38109,10000513,831.936,8,0.2,-114.3912
74,134026,15745,38109,10003708,97.04,2,0.2,1.213
75,134026,15745,38109,10004123,72.784,1,0.2,-18.196
76,118038,16600,77041,10004182,1.248,3,0.8,-1.9344
77,118038,16600,77041,10000260,9.708,3,0.6,-5.8248
78,118038,16600,77041,10000615,27.24,3,0.2,2.724
79,147606,15745,77070,10003194,19.3,5,0.6,-14.475
80,127208,20770,35601,10002118,208.16,1,0,56.2032
81,127208,20770,35601,10002309,16.74,3,0,8.0352
82,139451,13690,94122,10002053,14.9,5,0,4.172
83,139451,13690,94122,10002370,21.39,1,0,6.2031
84,149734,16105,27707,10000927,200.984,7,0.2,62.8075
85,119662,12400,60623,10003656,230.376,3,0.2,-48.9549
86,140088,18865,29203,10000863,301.96,2,0,33.2156
87,155558,18895,55901,10001998,19.99,1,0,6.7966
88,155558,18895,55901,10000134,6.16,2,0,2.9568
89,159695,14455,77095,10003442,158.368,7,0.2,13.8572
90,109806,15685,90036,10004930,20.1,3,0,6.633
91,109806,15685,90036,10004093,73.584,2,0.2,8.2782
92,109806,15685,90036,10000304,6.48,1,0,3.1104
93,149587,16315,55407,10003177,12.96,2,0,6.2208
94,149587,16315,55407,10003799,53.34,3,0,16.5354
95,149587,16315,55407,10002852,32.96,2,0,16.1504
96,109484,19705,97206,10004738,5.682,1,0.7,-3.788
97,161018,18775,10009,10000629,96.53,7,0,40.5426
98,157833,16345,94122,10001721,51.312,3,0.2,17.9592
99,149223,13855,55106,10000358,77.88,6,0,22.5852
100,158568,19465,60610,10003256,64.624,7,0.2,22.6184
101,158568,19465,60610,10001767,95.976,3,0.2,-10.7973
102,158568,19465,60610,10002609,1.788,3,0.8,-3.0396
103,129903,14470,55901,10004040,23.92,4,0,11.7208
104,156867,16870,80013,10001552,238.896,6,0.2,-26.8758
105,156867,16870,80013,10004006,102.36,3,0.2,-3.8385
106,156867,16870,80013,10002794,36.882,3,0.7,-25.8174
107,119004,15250,28205,10003499,74.112,8,0.2,17.6016
108,119004,15250,28205,10002844,27.992,1,0.2,2.0994
109,119004,15250,28205,10000390,3.304,1,0.2,1.0738
110,129476,19060,60462,10000844,339.96,5,0.2,67.992
111,146780,12805,10035,10001934,41.96,2,0,10.9096
112,128867,12565,50322,10000380,75.96,2,0,22.788
113,128867,12565,50322,10003981,27.24,6,0,13.3476
114,115259,19960,43229,10000621,40.096,14,0.2,14.5348
115,115259,19960,43229,10002600,4.72,2,0.2,1.652
116,115259,19960,43229,10004965,23.976,3,0.2,7.4925
117,115259,19960,43229,10002504,130.464,6,0.2,44.0316
118,110457,13090,98103,10001768,787.53,3,0,165.3813
119,136476,14650,37620,10003650,157.794,1,0.7,-115.7156
120,103730,20725,19805,10002157,47.04,3,0,18.3456
121,103730,20725,19805,10003910,30.84,4,0,13.878
122,103730,20725,19805,10000777,226.56,6,0,63.4368
123,103730,20725,19805,10002500,115.02,9,0,51.759
124,103730,20725,19805,10003875,68.04,7,0,19.7316
125,152030,10180,77041,10004063,600.558,3,0.3,-8.5794
126,134614,19165,61701,10004534,617.7,6,0.5,-407.682
127,107272,21610,85023,10003274,2.388,2,0.7,-1.8308
128,107272,21610,85023,10002974,243.992,7,0.2,30.499
129,125969,16975,90004,10001146,81.424,2,0.2,-9.1602
130,125969,16975,90004,10003773,238.56,3,0,26.2416
131,164147,13585,43229,10002293,59.97,5,0.4,-11.994
132,164147,13585,43229,10002377,78.304,2,0.2,29.364
133,164147,13585,43229,10002780,21.456,9,0.2,6.9732
134,145583,16885,95661,10001804,20.04,3,0,9.6192
135,145583,16885,95661,10001736,35.44,1,0,16.6568
136,145583,16885,95661,10001149,11.52,4,0,3.456
137,145583,16885,95661,10002988,4.02,2,0,1.9698
138,145583,16885,95661,10004781,76.176,3,0.2,26.6616
139,145583,16885,95661,10001218,65.88,6,0,18.4464
140,145583,16885,95661,10001706,43.12,14,0,20.6976
141,110366,15895,19140,10004848,82.8,2,0.2,10.35
142,106180,19975,94122,10000940,8.82,3,0,2.3814
143,106180,19975,94122,10004030,10.86,3,0,5.1042
144,106180,19975,94122,10004327,143.7,3,0,68.976
145,155376,20080,64055,10001058,839.43,3,0,218.2518
146,110744,14920,91104,10003656,671.93,7,0,20.1579
147,110072,17680,43055,10000521,93.888,4,0.2,12.9096
148,114489,16165,53132,10000215,384.45,11,0,103.8015
149,114489,16165,53132,10001448,149.97,3,0,5.9988
150,114489,16165,53132,10000454,1951.84,8,0,585.552
151,114489,16165,53132,10002735,171.55,5,0,80.6285
152,158834,21025,85254,10000326,157.92,5,0.2,17.766
153,158834,21025,85254,10001254,203.184,2,0.2,15.2388
154,124919,20650,95123,10001950,58.38,7,0,26.271
155,124919,20650,95123,10002254,105.52,4,0,48.5392
156,124919,20650,95123,10001590,80.88,6,0,21.0288
157,118948,18490,98105,10001547,6.63,3,0,1.7901
158,104269,13060,98115,10004063,457.568,2,0.2,51.4764
159,114104,18670,73034,10002475,14.62,2,0,6.8714
160,114104,18670,73034,10004536,944.93,7,0,236.2325
161,162733,21070,90045,10002751,5.98,1,0,2.691
162,119697,13960,19134,10003657,54.384,2,0.2,1.3596
163,154508,19900,88220,10001990,28.4,5,0,13.348
164,113817,17740,98115,10004002,27.68,2,0.2,9.688
165,139892,11140,78207,10004441,9.936,3,0.2,2.7324
166,139892,11140,78207,10000822,8159.952,8,0.4,-1359.992
167,139892,11140,78207,10000991,275.928,3,0.2,-58.6347
168,139892,11140,78207,10004287,1740.06,9,0.3,-24.858
169,139892,11140,78207,10002656,32.064,6,0.2,6.8136
170,139892,11140,78207,10002518,177.98,5,0.8,-453.849
171,139892,11140,78207,10003931,143.976,3,0.2,8.9985
172,118962,12130,90004,10000659,20.94,3,0,9.8418
173,118962,12130,90004,10001144,110.96,2,0,53.2608
174,118962,12130,90004,10003817,340.144,7,0.2,21.259
175,100853,15400,60623,10000891,52.448,2,0.8,-131.12
176,100853,15400,60623,10003148,20.16,4,0.2,6.552
177,152366,20500,77036,10002684,97.264,4,0.8,-243.16
178,101511,15745,43055,10004698,396.802,7,0.3,-11.3372
179,101511,15745,43055,10002189,15.88,5,0.2,-3.7715
180,137225,15640,10009,10001940,3.28,1,0,1.4104
181,166191,13150,62521,10003455,24.816,2,0.2,1.8612
182,166191,13150,62521,10004659,408.744,7,0.2,76.6395
183,158274,19675,71203,10003273,503.96,4,0,131.0296
184,158274,19675,71203,10004896,149.95,5,0,41.986
185,158274,19675,71203,10002345,29,2,0,7.25
186,105018,19990,6824,10001890,7.16,2,0,3.4368
187,123260,14290,90032,10002323,176.8,8,0,22.984
188,157000,10360,75051,10001328,37.224,3,0.2,3.7224
189,157000,10360,75051,10001950,20.016,3,0.2,6.255
190,102281,17470,10035,10002613,899.136,4,0.2,112.392
191,102281,17470,10035,10001552,71.76,6,0,20.0928
192,102281,17470,10035,10000061,51.84,8,0,24.8832
193,102281,17470,10035,10002545,626.352,3,0.2,46.9764
194,102281,17470,10035,10003514,19.9,5,0,6.567
195,131457,17515,92374,10001509,14.28,7,0,6.7116
196,140004,12025,45011,10004685,7.408,2,0.2,1.2038
197,140004,12025,45011,10004027,6.048,3,0.2,1.5876
198,107720,21685,7090,10001414,46.26,3,0,12.0276
199,124303,14365,19120,10000343,2.946,2,0.7,-2.2586
200,124303,14365,19120,10002749,16.056,3,0.2,5.8203
201,105074,17305,44312,10002666,21.744,3,0.2,6.795
202,133690,11755,80219,10004289,218.75,2,0.5,-161.875
203,133690,11755,80219,10003622,2.6,1,0.2,0.2925
204,116701,17140,75220,10003217,66.284,2,0.8,-178.9668
205,126382,14890,37064,10002960,35.168,7,0.2,9.6712
206,108329,16810,90604,10001918,444.768,4,0.2,44.4768
207,135860,15985,48601,10000642,83.92,4,0,5.8744
208,135860,15985,48601,10001700,131.98,2,0,35.6346
209,135860,15985,48601,10003274,15.92,4,0,7.4824
210,135860,15985,48601,10000134,52.29,9,0,16.2099
211,135860,15985,48601,10001522,91.99,1,0,3.6796
212,101007,17980,75220,10001266,20.8,2,0.2,6.5
213,146262,21775,44256,10004544,23.68,2,0.2,8.88
214,146262,21775,44256,10004695,452.45,5,0.5,-244.323
215,146262,21775,44256,10002844,62.982,3,0.4,-14.6958
216,146262,21775,44256,10000864,1188,9,0.7,-950.4
217,146262,21775,44256,10000109,89.584,2,0.2,4.4792
218,130162,15910,90032,10001328,93.06,6,0,26.0568
219,130162,15910,90032,10002563,302.376,3,0.2,22.6782
220,169397,15925,43017,10000585,5.584,2,0.2,1.8148
221,169397,15925,43017,10004000,22.704,6,0.2,8.2302
222,169397,15925,43017,10002852,19.776,4,0.7,-13.8432
223,169397,15925,43017,10000087,72.704,4,0.2,19.0848
224,169397,15925,43017,10001148,479.988,4,0.7,-383.9904
225,169397,15925,43017,10001958,27.168,2,0.2,2.7168
226,163055,13180,48227,10001026,2.2,1,0,0.968
227,163055,13180,48227,10003748,622.45,5,0,136.939
228,163055,13180,48227,10002485,21.98,1,0,0.2198
229,145436,21670,38401,10004860,161.568,2,0.2,-28.2744
230,145436,21670,38401,10004477,389.696,8,0.2,43.8408
231,156216,14035,28205,10001679,18.648,7,0.7,-12.432
232,100930,12400,33614,10001705,233.86,2,0.45,-102.048
233,100930,12400,33614,10003473,620.6145,3,0.45,-248.2458
234,100930,12400,33614,10001679,5.328,2,0.7,-3.552
235,100930,12400,33614,10004017,258.072,3,0.2,0
236,100930,12400,33614,10003832,617.976,3,0.2,-7.7247
237,160514,13120,95051,10002479,10.56,2,0,4.752
238,157749,16645,60610,10003349,25.92,5,0.2,9.396
239,157749,16645,60610,10000576,419.68,5,0.6,-356.728
240,157749,16645,60610,10004351,11.688,3,0.6,-4.6752
241,157749,16645,60610,10000011,31.984,2,0.2,11.1944
242,157749,16645,60610,10002607,177.225,5,0.5,-120.513
243,157749,16645,60610,10002505,4.044,3,0.6,-2.8308
244,157749,16645,60610,10004685,7.408,2,0.2,1.2038
245,131926,13480,55044,10004063,2001.86,7,0,580.5394
246,131926,13480,55044,10002276,166.72,2,0,41.68
247,131926,13480,55044,10004082,47.88,6,0,23.94
248,131926,13480,55044,10002945,1503.25,5,0,496.0725
249,131926,13480,55044,10000061,25.92,4,0,12.4416
250,154739,17155,94109,10002965,321.568,2,0.2,28.1372
251,145625,16540,92037,10004569,7.61,1,0,3.5767
252,145625,16540,92037,10003832,3347.37,13,0,636.0003
253,146941,13315,10024,10001228,80.58,6,0,22.5624
254,146941,13315,10024,10003296,361.92,4,0,162.864
255,159982,12880,60623,10002505,12.132,9,0.6,-8.4924
256,159982,12880,60623,10004804,82.368,2,0.2,-19.5624
257,159982,12880,60623,10001590,53.92,5,0.2,4.044
258,159982,12880,60623,10001580,647.904,6,0.2,56.6916
259,163139,12670,10009,10000290,20.37,3,0,6.9258
260,163139,12670,10009,10002790,221.55,3,0,6.6465
261,163139,12670,10009,10003460,17.52,5,0.2,6.132
262,155299,13600,77506,10002203,1.624,2,0.8,-4.466
263,106992,20290,77036,10000822,3059.982,3,0.4,-509.997
264,106992,20290,77036,10003353,2519.958,7,0.4,-251.9958
265,125318,19825,60610,10001433,328.224,4,0.2,28.7196
266,155040,10210,94513,10004469,79.9,2,0,35.156
267,136826,12535,27514,10003602,14.016,3,0.2,4.7304
268,111010,18895,7960,10003472,7.56,6,0,0.3024
269,145366,12310,45231,10004180,37.208,1,0.2,-7.4416
270,145366,12310,45231,10004386,57.576,3,0.2,21.591
271,163979,16690,94110,10003208,725.84,4,0,210.4936
272,155334,14920,94109,10003628,209.93,7,0,92.3692
273,155334,14920,94109,10003274,5.28,3,0,2.3232
274,155334,14920,94109,10002557,10.92,3,0.2,4.095
275,118136,10990,90301,10002615,8.82,2,0,4.0572
276,118136,10990,90301,10001427,5.98,1,0,1.5548
277,132976,10495,19140,10000673,11.648,2,0.2,4.0768
278,132976,10495,19140,10004470,18.176,4,0.2,5.9072
279,132976,10495,19140,10000876,59.712,6,0.2,5.9712
280,132976,10495,19140,10002043,24.84,3,0.2,8.694
281,161991,20725,77070,10004967,2.08,5,0.8,-3.432
282,161991,20725,77070,10001760,1114.4,7,0.2,376.11
283,130890,15280,90004,10002903,1038.84,5,0.2,51.942
284,130883,21520,97206,10000474,141.76,5,0.2,47.844
285,130883,21520,97206,10001956,239.8,5,0.2,47.96
286,130883,21520,97206,10004100,31.104,6,0.2,10.8864
287,112697,10195,33319,10000778,254.058,7,0.7,-169.372
288,112697,10195,33319,10002684,194.528,2,0.2,24.316
289,112697,10195,33319,10000646,961.48,5,0.2,-204.3145
290,110772,18565,43229,10002983,19.096,7,0.2,6.6836
291,110772,18565,43229,10004689,18.496,8,0.2,6.2424
292,110772,18565,43229,10002001,255.984,2,0.2,54.3966
293,110772,18565,43229,10004709,86.97,3,0.5,-48.7032
294,111451,16555,80906,10004091,300.416,8,0.2,78.8592
295,111451,16555,80906,10001891,230.352,3,0.2,20.1558
296,111451,16555,80906,10002918,218.352,3,0.2,-24.5646
297,111451,16555,80906,10004593,78.6,5,0.7,-62.88
298,111451,16555,80906,10004854,27.552,3,0.2,9.2988
299,142545,15895,7109,10002105,32.4,5,0,15.552
300,142545,15895,7109,10002756,1082.48,8,0,10.8248
301,142545,15895,7109,10004243,56.91,3,0,27.3168
302,142545,15895,7109,10001861,77.6,4,0,38.024
303,142545,15895,7109,10002706,14.28,1,0,6.5688
304,152380,15910,60623,10002533,219.075,3,0.5,-131.445
305,144253,10225,10024,10002671,26.8,2,0,12.864
306,130960,16600,48180,10003651,9.84,3,0,2.8536
307,111003,12625,8701,10001072,45.48,3,0,20.9208
308,111003,12625,8701,10002135,289.2,6,0,83.868
309,126774,20395,22204,10002804,4.89,1,0,2.0049
310,142902,11185,80004,10001918,15.136,4,0.2,3.5948
311,142902,11185,80004,10004086,466.768,2,0.2,52.5114
312,142902,11185,80004,10001756,15.232,1,0.2,1.7136
313,142902,11185,80004,10000634,6.264,3,0.2,2.0358
314,120887,21205,7601,10001588,87.54,3,0,37.6422
315,167850,10525,33710,10002398,178.384,2,0.2,22.298
316,167850,10525,33710,10001937,15.552,3,0.2,5.4432
317,164259,20860,19143,10003373,99.136,4,0.2,8.6744
318,164973,18445,10024,10002602,135.882,1,0.1,24.1568
319,164973,18445,10024,10002927,3991.98,2,0,1995.99
320,164973,18445,10024,10004093,275.94,6,0,80.0226
321,164973,18445,10024,10000892,360,4,0,129.6
322,164973,18445,10024,10002974,43.57,1,0,13.071
323,156601,14230,90805,10000624,7.16,2,0,3.58
324,162138,14620,92345,10004593,251.52,6,0.2,81.744
325,162138,14620,92345,10001908,99.99,1,0,34.9965
326,153339,13510,37130,10001967,15.992,1,0.2,0.9995
327,141544,18850,19143,10003645,290.898,3,0.4,-67.8762
328,141544,18850,19143,10000675,54.224,2,0.2,3.389
329,141544,18850,19143,10003312,786.744,4,0.3,-258.5016
330,141544,18850,19143,10001074,100.24,10,0.2,33.831
331,141544,18850,19143,10001524,37.764,6,0.7,-27.6936
332,150147,15850,19134,10004614,82.8,2,0.4,-20.7
333,150147,15850,19134,10001153,20.724,2,0.7,-13.816
334,150147,15850,19134,10001982,4.896,3,0.7,-3.4272
335,137946,13615,90045,10001922,4.752,1,0.2,1.6038
336,137946,13615,90045,10001449,959.984,2,0.2,335.9944
337,137946,13615,90045,10004140,14.368,4,0.2,4.49
338,129924,10420,94122,10003314,7.712,2,0.2,2.7956
339,129924,10420,94122,10004575,698.352,3,0.2,-17.4588
340,128167,16645,84041,10000490,4.96,4,0,2.3312
341,122336,15895,19140,10000122,17.856,4,0.2,1.116
342,122336,15895,19140,10003656,509.97,10,0.7,-407.976
343,122336,15895,19140,10002780,30.992,13,0.2,10.0724
344,122336,15895,19140,10000702,71.928,12,0.4,8.3916
345,120712,12130,78745,10000107,88.8,4,0.2,-2.22
346,169901,12550,94122,10002293,47.976,3,0.2,4.7976
347,134306,20995,1852,10004027,7.56,3,0,3.0996
348,134306,20995,1852,10000249,24.56,2,0,11.5432
349,134306,20995,1852,10001374,12.96,2,0,4.1472
350,129714,10060,10009,10000290,6.79,1,0,2.3086
351,129714,10060,10009,10001970,24.56,2,0,11.5432
352,129714,10060,10009,10002160,3.048,1,0.2,1.0668
353,129714,10060,10009,10001970,49.12,4,0,23.0864
354,129714,10060,10009,10004995,4355.168,4,0.2,1415.4296
355,138520,15505,10035,10002268,388.704,6,0.2,-4.8588
356,138520,15505,10035,10001137,8.26,2,0,3.7996
357,138520,15505,10035,10002399,17.04,4,0,6.9864
358,138520,15505,10035,10002713,34.4,5,0,15.824
359,130001,14890,28205,10002666,36.24,5,0.2,11.325
360,155698,21745,31907,10001124,647.84,8,0,168.4384
361,155698,21745,31907,10001158,20.7,2,0,9.936
362,144904,16435,10009,10001158,20.7,2,0,9.936
363,144904,16435,10009,10000785,488.646,3,0.1,86.8704
364,144904,16435,10009,10003732,5.56,2,0,1.4456
365,144904,16435,10009,10000023,47.12,8,0,20.7328
366,123344,16060,94109,10001713,211.96,4,0,8.4784
367,155516,17905,6040,10002412,23.2,4,0,10.44
368,155516,17905,6040,10001225,7.36,2,0,0.1472
369,155516,17905,6040,10002406,104.79,7,0,29.3412
370,155516,17905,6040,10002545,1043.92,4,0,271.4192
371,104745,14755,78550,10002036,25.92,5,0.2,9.396
372,104745,14755,78550,10002205,53.424,3,0.2,4.6746
373,119137,10900,85705,10001982,8.16,5,0.7,-5.712
374,119137,10900,85705,10003911,1023.936,8,0.2,179.1888
375,119137,10900,85705,10000658,9.24,1,0.2,0.924
376,119137,10900,85705,10002076,479.04,10,0.2,-29.94
377,134656,18280,62301,10003039,99.136,4,0.2,30.98
378,134481,10405,2038,10004915,1488.424,7,0.3,-297.6848
379,130792,19915,77095,10000696,8.652,3,0.8,-20.3322
380,130792,19915,77095,10003327,23.832,3,0.2,2.6811
381,130792,19915,77095,10000309,12.176,4,0.8,-18.8728
382,134775,10285,94109,10004734,50.96,7,0,25.48
383,134775,10285,94109,10002225,49.536,3,0.2,17.3376
384,125395,16780,48180,10004708,41.9,2,0,8.799
385,168935,13435,33024,10000617,375.4575,3,0.45,-157.0095
386,168935,13435,33024,10002335,83.976,3,0.2,-1.0497
387,122756,13225,19140,10001681,482.34,4,0.7,-337.638
388,122756,13225,19140,10001935,2.96,1,0.2,0.777
389,115973,18430,45231,10004757,2.624,1,0.2,0.4264
390,101798,18190,10009,10000050,23.36,4,0.2,7.884
391,101798,18190,10009,10001998,39.98,2,0,13.5932
392,135972,15115,98198,10003012,246.384,2,0.2,27.7182
393,135972,15115,98198,10002313,1799.97,3,0,701.9883
394,134971,11095,61604,10003982,12.462,3,0.8,-20.5623
395,102946,21730,89115,10004492,75.792,3,0.2,25.5798
396,165603,20140,2886,10000798,49.96,2,0,9.4924
397,165603,20140,2886,10002552,12.96,2,0,6.2208
398,122259,14815,49201,10002573,70.12,4,0,21.036
399,108987,10675,77036,10001580,35.952,3,0.2,3.5952
400,108987,10675,77036,10004834,2396.2656,4,0.32,-317.1528
401,108987,10675,77036,10000934,131.136,4,0.2,-32.784
402,108987,10675,77036,10000158,57.584,2,0.2,0.7198
403,113166,17185,33180,10001947,9.568,2,0.2,3.4684
404,155208,20650,28403,10003478,39.072,6,0.2,9.768
405,117933,19840,10024,10004249,35.91,3,0,9.6957
406,117457,16510,94110,10000158,179.95,5,0,37.7895
407,117457,16510,94110,10004115,1199.976,3,0.2,434.9913
408,117457,16510,94110,10003724,27.15,5,0,13.3035
409,117457,16510,94110,10002041,1004.024,7,0.2,-112.9527
410,117457,16510,94110,10002893,9.68,1,0,4.6464
411,117457,16510,94110,10003766,28.35,9,0,13.608
412,117457,16510,94110,10001970,55.98,1,0,27.4302
413,117457,16510,94110,10001972,1336.829,13,0.15,31.4548
414,117457,16510,94110,10003956,113.568,2,0.2,-18.4548
415,142636,16675,98105,10000157,139.86,7,0,65.7342
416,142636,16675,98105,10001891,307.136,4,0.2,26.8744
417,122105,12010,92646,10004344,95.92,8,0,25.8984
418,148796,19150,90004,10004886,383.8,5,0.2,38.38
419,154816,21745,40475,10003845,5.78,1,0,2.8322
420,110478,20860,90045,10001573,9.32,4,0,2.7028
421,110478,20860,90045,10000483,15.25,1,0,7.015
422,142048,15745,80027,10004114,196.752,6,0.2,56.5662
423,125388,17965,1841,10004712,56.56,4,0,14.7056
424,125388,17965,1841,10000918,32.7,3,0,8.502
425,155705,18385,39212,10000015,866.4,4,0,225.264
426,149160,15265,48187,10003347,28.4,2,0,11.076
427,149160,15265,48187,10001543,287.92,8,0,138.2016
428,101476,20485,10801,10000029,69.99,1,0,30.0957
429,152275,16630,78207,10000369,6.672,6,0.2,0.5004
430,123750,19795,28052,10004584,189.588,2,0.7,-145.3508
431,123750,19795,28052,10004659,408.744,7,0.2,76.6395
432,123750,19795,28052,10004659,291.96,5,0.2,54.7425
433,123750,19795,28052,10000617,4.768,2,0.2,-0.7748
434,127369,13060,1852,10003306,714.3,5,0,207.147
435,150574,18160,32216,10000773,4.812,2,0.7,-3.6892
436,150574,18160,32216,10002600,247.8,5,0.2,-18.585
437,147375,19180,60623,10002937,1007.979,3,0.3,43.1991
438,147375,19180,60623,10001970,313.488,7,0.2,113.6394
439,130043,11545,77070,10002230,31.872,8,0.2,11.5536
440,157252,12805,10024,10003396,207.846,3,0.1,2.3094
441,115756,19075,48227,10000246,12.22,1,0,3.666
442,115756,19075,48227,10000060,194.94,3,0,23.3928
443,115756,19075,48227,10003058,70.95,3,0,20.5755
444,115756,19075,48227,10002222,91.36,4,0,42.0256
445,115756,19075,48227,10002372,242.94,3,0,29.1528
446,115756,19075,48227,10001317,22.05,7,0,10.584
447,154214,21595,47201,10000206,2.91,1,0,1.3677
448,166674,19360,13021,10000588,59.52,3,0,15.4752
449,166674,19360,13021,10001469,161.94,3,0,9.7164
450,166674,19360,13021,10001953,263.88,6,0,71.2476
451,166674,19360,13021,10003156,30.48,3,0,7.9248
452,166674,19360,13021,10004974,9.84,3,0,2.8536
453,166674,19360,13021,10002365,35.12,4,0,9.1312
454,147277,13705,44312,10001539,284.364,2,0.4,-75.8304
455,147277,13705,44312,10000142,665.408,2,0.2,66.5408
456,100153,16630,73071,10001772,63.88,4,0,24.9132
457,110674,20095,94521,10000225,129.568,2,0.2,-24.294
458,157945,18385,62521,10002331,747.558,3,0.3,-96.1146
459,157945,18385,62521,10001415,8.928,2,0.2,3.348
460,109638,15985,98115,10002472,103.92,4,0,36.372
461,109638,15985,98115,10004571,899.91,9,0,377.9622
462,109638,15985,98115,10001098,51.312,3,0.2,18.6006
463,109869,21040,85023,10000023,23.56,5,0.2,7.068
464,109869,21040,85023,10001889,1272.63,6,0.5,-814.4832
465,109869,21040,85023,10000315,28.485,5,0.7,-20.889
466,109869,21040,85023,10003505,185.376,2,0.2,-34.758
467,109869,21040,85023,10002578,78.272,2,0.2,5.8704
468,101399,15940,60068,10002918,254.744,7,0.6,-312.0614
469,154907,13180,79109,10002824,205.3328,2,0.32,-36.2352
470,100419,12670,60610,10002194,4.788,3,0.8,-7.9002
471,154144,17785,11757,10004071,55.48,1,0,26.6304
472,144666,15520,94110,10002743,340.92,3,0,3.4092
473,144666,15520,94110,10001601,222.666,2,0.15,10.4784
474,144666,15520,94110,10002680,703.968,4,0.2,87.996
475,144666,15520,94110,10001321,92.52,6,0,24.9804
476,144666,15520,94110,10001509,62.65,7,0,28.819
477,144666,15520,94110,10003465,94.85,5,0,45.528
